,apparentTemperature,precipIntensity,summary,time
0,62.13,0.0,Clear,2018-10-01 00:00:00
1,62.0,0.0,Clear,2018-10-01 01:00:00
2,60.78,0.0,Clear,2018-10-01 02:00:00
3,61.13,0.0,Clear,2018-10-01 03:00:00
4,60.73,0.0,Clear,2018-10-01 04:00:00
5,60.78,0.0,Partly Cloudy,2018-10-01 05:00:00
6,61.82,0.0,Overcast,2018-10-01 06:00:00
7,62.05,0.0,Overcast,2018-10-01 07:00:00
8,63.44,0.0,Overcast,2018-10-01 08:00:00
9,65.29,0.0,Overcast,2018-10-01 09:00:00
10,67.59,0.0,Overcast,2018-10-01 10:00:00
11,71.31,0.0,Overcast,2018-10-01 11:00:00
12,73.24,0.0,Mostly Cloudy,2018-10-01 12:00:00
13,74.1,0.0,Mostly Cloudy,2018-10-01 13:00:00
14,74.7,0.0,Overcast,2018-10-01 14:00:00
15,75.24,0.0,Overcast,2018-10-01 15:00:00
16,76.28,0.0,Mostly Cloudy,2018-10-01 16:00:00
17,76.12,0.0,Mostly Cloudy,2018-10-01 17:00:00
18,74.77,0.0,Partly Cloudy,2018-10-01 18:00:00
19,72.17,0.0,Partly Cloudy,2018-10-01 19:00:00
20,71.16,0.0,Partly Cloudy,2018-10-01 20:00:00
21,70.99,0.0,Mostly Cloudy,2018-10-01 21:00:00
22,70.19,0.0,Mostly Cloudy,2018-10-01 22:00:00
23,69.36,0.0,Mostly Cloudy,2018-10-01 23:00:00
24,68.54,0.0,Mostly Cloudy,2018-10-02 00:00:00
25,67.89,0.0,Mostly Cloudy,2018-10-02 01:00:00
26,67.27,0.0,Mostly Cloudy,2018-10-02 02:00:00
27,66.86,0.0,Mostly Cloudy,2018-10-02 03:00:00
28,66.7,0.0,Mostly Cloudy,2018-10-02 04:00:00
29,66.26,0.0,Mostly Cloudy,2018-10-02 05:00:00
30,66.3,0.0,Mostly Cloudy,2018-10-02 06:00:00
31,66.13,0.0,Mostly Cloudy,2018-10-02 07:00:00
32,67.14,0.0,Mostly Cloudy,2018-10-02 08:00:00
33,69.62,0.0,Mostly Cloudy,2018-10-02 09:00:00
34,71.9,0.0,Mostly Cloudy,2018-10-02 10:00:00
35,74.79,0.0,Partly Cloudy,2018-10-02 11:00:00
36,76.51,0.0,Mostly Cloudy,2018-10-02 12:00:00
37,76.66,0.0,Mostly Cloudy,2018-10-02 13:00:00
38,77.27,0.0,Mostly Cloudy,2018-10-02 14:00:00
39,78.06,0.0,Mostly Cloudy,2018-10-02 15:00:00
40,78.07,0.0,Overcast,2018-10-02 16:00:00
41,77.62,,Clear,2018-10-02 17:00:00
42,76.97,0.0,Mostly Cloudy,2018-10-02 18:00:00
43,75.26,0.0,Mostly Cloudy,2018-10-02 19:00:00
44,74.34,0.0,Mostly Cloudy,2018-10-02 20:00:00
45,73.6,0.0028,Mostly Cloudy,2018-10-02 21:00:00
46,72.83,0.1175,Rain,2018-10-02 22:00:00
47,67.11,0.3097,Heavy Rain,2018-10-02 23:00:00
48,65.96,0.1185,Rain,2018-10-03 00:00:00
49,65.67,0.0462,Light Rain,2018-10-03 01:00:00
50,65.27,0.0,Mostly Cloudy,2018-10-03 02:00:00
51,65.27,0.0,Mostly Cloudy,2018-10-03 03:00:00
52,64.73,0.0,Mostly Cloudy,2018-10-03 04:00:00
53,64.28,0.0,Partly Cloudy,2018-10-03 05:00:00
54,63.98,0.0,Partly Cloudy,2018-10-03 06:00:00
55,64.12,0.0,Partly Cloudy,2018-10-03 07:00:00
56,64.97,0.0,Clear,2018-10-03 08:00:00
57,67.91,0.0,Clear,2018-10-03 09:00:00
58,70.69,0.0,Clear,2018-10-03 10:00:00
59,71.29,0.0,Partly Cloudy,2018-10-03 11:00:00
